AES-128 test cases:
plaintext: 128'he41827f58b1574f5f714fe509f78706a
key:       192'h3f2e7461d470929626c0c41f5e76f46810428e1b539b5703
ciphertext:128'h62e91219b860bfd65eb06f7bf99ef796

plaintext: 128'hc04ab055815fc220cdc08d373ea2301f
key:       192'h5d6462f571bbdb566c81fd69aac01d54ed6a0acd046ec9cd
ciphertext:128'he1f579274aeb520d93fd9496498ae9c3

plaintext: 128'h76d12e5654b4735f2bb119d55d9c6df4
key:       192'hbfca1e6a08698a3b61f5d394f265639cf068379180441daa
ciphertext:128'h0a65f1ce0717e7b7b0ad7a09611b7e89

plaintext: 128'h2aabf636cd874863a18c516670a9f5db
key:       192'h64d19ec8925737011883bf6e1298c7dc203c44bdf2eec48c
ciphertext:128'hac2baef5ad03e753b050218b75aa4852

plaintext: 128'hf1937a1538613c70db9d32dad76df469
key:       192'h90f0f0b375a288b85896dfccb84a84a36ea9ddfef3a70a19
ciphertext:128'h18368a7b5b5700416d27e360cbeb11db

plaintext: 128'ha6ce443deb7e3c38e47b6e2cc35a1ef6
key:       192'ha01bf0fd725866745de102434950880c04f01fcc87ef6e5b
ciphertext:128'h6c42eae1e64ec853461e4064072dc350

plaintext: 128'hd26c6bdc8695c6892a26b1b65a9c7e17
key:       192'h8db77d80d1d6080582d5c6271009c534b9e37530f13f783b
ciphertext:128'ha04ca2d3c01a0334bb07b5910a3bf255

plaintext: 128'h401b6529649bb8e33bf15235810cc75a
key:       192'hc203e28ed7d30da7be90b68258afcf2e1798cb34b87b3383
ciphertext:128'hb1a65445cc9fddc68b72bb3b993734cd

plaintext: 128'he0f36c86c2620034898465e2f5605772
key:       192'h3cb3f00df39462bfb00a2c2de669866026c65cf23ee8285c
ciphertext:128'h736175567a85e49600610c39b2aa4870

plaintext: 128'h00c76d8ed2f527c4d60ea81738c9a20b
key:       192'h2ee9d4ce4c14525a0b73dbae91495b038d9211c8505f8738
ciphertext:128'h4161a1c57b24a6efa713f0b8303da9cb

plaintext: 128'h3b266d30dd73f00f1e0c5cc45d6a20ae
key:       192'hff68ddfb0190b139fb8e22c2da4bedaa6915715a25478861
ciphertext:128'h0199fce15177da9cad3f87088eeaca62

plaintext: 128'h934353e56ff0ae73c46e588bccc6fe0a
key:       192'hcbc754219ca51242e506ba84270b4d4213bb4ea08882abfc
ciphertext:128'h720688f8bcf5c7037c2913bfbe2dcbc0

plaintext: 128'h0e4cf00410da12efa9dba267384580b4
key:       192'h7c1e4b3a38a42998744c5f770efcce0aae1c48bfc2bef75b
ciphertext:128'h824a180648f3641027d24b47e71aeb3f

plaintext: 128'h4d6b99995386b01994cfa4fc44cd73cd
key:       192'hddb819d2a6ebb4e7585408fd981a12ffc4e585ab31176b35
ciphertext:128'h2a98defa287863219db208efc8d0acfb

plaintext: 128'hdcc6e70f2d21935a930ad9ac8b3af58e
key:       192'hfce38efd4c94fda1b7117a82f5e928e56ad1af0fee97f242
ciphertext:128'hb9256f836070bad5f8351a37a0ecf9b4

plaintext: 128'h5a81a1cc94e5bb96eb90c84a473725c5
key:       192'h84fe489f8079e771d8ea4b9609c6813db96348224d4d4803
ciphertext:128'hb8f56db890785fb943c2d56de0ac6e29

plaintext: 128'hd538dd10a11c700229261bb899aa9f02
key:       192'h287194ea3831381683f19580eed13edd1ec3091c32c0e079
ciphertext:128'hd77623964ab5c975580646a333200087

plaintext: 128'hfd5be6fb70960585b098089ac0e8c940
key:       192'h3c43da5e342a14189753ed1ec8c913cd7ec625f9c4ee5c2a
ciphertext:128'h633f6a6f1a1767a9a2a0010f86d34ebf

plaintext: 128'ha4748664ae645d504feaa837da8414bc
key:       192'hcf72d702e3983bea8b615e601f4f50ba26c3c4d658d52821
ciphertext:128'hbae41777fac45beb2534a89c972d3377

plaintext: 128'h8ca7bfd0d6672bd4eca5d90275cf3d14
key:       192'h5600319b57754f81347e3813308c5360e6bd341262bc245f
ciphertext:128'h732fdccac718440508477a7111c4e624

plaintext: 128'h114e62fd3b861e9fd091864fe92706d6
key:       192'h9f1ea53e0bcfaaf83ef18cdeada0aeb0afbfee105bea450c
ciphertext:128'h8f448ae61bb181b7ed07c0ed49341af1

plaintext: 128'ha22b7bccc08b5381f15fa9f832fc2e54
key:       192'h6b70edbbab19109b0b5bd8ffe967451d428b92c1de0217e5
ciphertext:128'ha287a56d79d0ca44ac73274604584258

plaintext: 128'h14cf61c04b47cb9054b6b7b8c7ffcfc8
key:       192'hc5d25aa761ae39a0b1a33acc118fa65197265e07e2e26d29
ciphertext:128'h63c1eba3eff9af49df9f25ba2bb988d5

plaintext: 128'hec36992410b3356830d586908b9183bf
key:       192'h0e3d34bde220ccda5479462bd7365cb35dc46cf5326d77a2
ciphertext:128'hf9ab7b2155b710c80f873fe91ac6d8eb

plaintext: 128'hbd6242fd8348f3c6029285277de4b252
key:       192'habd15df8ae8208b9160c4674bb4879be8278aabcc505c19d
ciphertext:128'h801e532e9436e3c3813faaf924d53ccc

plaintext: 128'h98c797464115ab49c2ece70863706fef
key:       192'h737a7cb5b22fc2f60a34a76dafcf39681a4796d14a5c5d41
ciphertext:128'h1a149f2407dec5e41a96d35ccb69d623

plaintext: 128'h330c48446d967cb7efe010f940a10fd3
key:       192'h1f4ad5b7dfce1a0ef2fa16b0b73c567356ea489ebdc380c4
ciphertext:128'h65746819467f9ddf369b0e7004abdad3

plaintext: 128'h64aca3916aa44db33189ee22b9105808
key:       192'he1ab0a6eff98e760f355822f93b118026ef75dbbcdd89bab
ciphertext:128'hb7e229c5fa1b2ebb33ed02f468f3a6a2

plaintext: 128'h92fe628a284b0fba7a09f6190c79a1dd
key:       192'h2500ce23a1b9b1e6b910b00ed687e84c0468854aae2cb494
ciphertext:128'h28827038447c617ac705dcf5b62005f8

plaintext: 128'h882835aaf994a1d6551f946f54f6d845
key:       192'hd40d068839aa94efae3e131a715c6ac776f984a094708e25
ciphertext:128'ha08cb9b8c249bf8add12b79f03f5933d

plaintext: 128'h68e98f22efbce067d5c4c9e6780f6e5e
key:       192'h48264d8157ba83b72dceb30764c13e4134ccabcd7123888b
ciphertext:128'h564aef70f5eb09404b6798124e8e8b59

plaintext: 128'haf47e751d72756565a204ea3d8b2dad1
key:       192'hcf05808d8b33c7befdbfff72d86ee2872088b5caaef7af0b
ciphertext:128'hb0574baa861af174b806fdc42ffac45c

plaintext: 128'hce0917fd7fa7bbf1f94eac3be5848173
key:       192'h07e24380efdf5125120f670614c0071710e3c91ebf8f8a84
ciphertext:128'h57ecbdac3fdf76a1401e88188045e44e

plaintext: 128'haab8dd36de8f3c5ea5e5727fc994c4c3
key:       192'h43dba42cc9579cabead93a65fba968c4a3a562451e81349e
ciphertext:128'h8ad56cfd53580d639cd0e5f7d7ae9c4a

plaintext: 128'h69c366a65733572ba69a0efb1070f1aa
key:       192'hf0fa492cf7eba3b2a49b90056bc21cc5aed58583d80508dc
ciphertext:128'h45e7c961ddd887b67b6bb6c2e36e6cab

plaintext: 128'hc17e9f16bcd1ee90eaadcb3874e1986e
key:       192'hee187c291c59da993bca2e5f4d13cf36fe0e926eb8bbdf80
ciphertext:128'h812042ae272659c06c2e24b41c12f4c7

plaintext: 128'h18a268aa298c84009917a400ddb5717e
key:       192'hd6197f9fbc232c4e3fbb31bebaf77610ded29ade1e085f1e
ciphertext:128'hb343eda7fa28bab413fe77e2f8917a57

plaintext: 128'h82b81f03305f6d903b0678ed63f829a5
key:       192'h6aa2b35a07249a2952e5f6345970ed559ddb280d83cd3a96
ciphertext:128'ha040a4f70b8f8df4bfea16eb9f99d9cf

plaintext: 128'h58bed3b356bbb6fc92c05e692c99e4f8
key:       192'h307e7fdb7989ee6cad1764175230e49fb4aaeeb80e0b65a5
ciphertext:128'h3af506e1012169a0bff1c0a0d7252039

plaintext: 128'hbba1cbc38be73ab026bb65b96b9f4554
key:       192'h4818b6a9539a489bdb0744366dea12aa8e298bde7f1910c5
ciphertext:128'h8c00ba920f14b4ce0e7bf1368b4c45c2

plaintext: 128'hcaa5d476c3354419960b4dfbcbe9a695
key:       192'h94a7f0eae1029103e16f2b1cb160883b767b055c4539b04a
ciphertext:128'h0584c55ed3a65695e4b78a7072817287

plaintext: 128'h92db44fdd55ec4eab76905b4b2986b96
key:       192'hd2930796ec83f48f4362fff9ad889bafca3f63dfdc9f9d27
ciphertext:128'hd1b43a68c1d78f88a97aebeb0bf96518

plaintext: 128'h389308a20aea2c74c3dc7e336baf6072
key:       192'h0eaf115f8bbb37acc255fb9b3b9ef498717332fd917b5e5e
ciphertext:128'h26bfafdde51ecaf27ea781c5f4abb41c

plaintext: 128'h4e5458dc17b903b8c02568143b4ce1a0
key:       192'h74fda1dc93af9c962c0423ce5dbd7f818fab12d72aa66415
ciphertext:128'h097dba14394574fde28e7d447d6d39c0

plaintext: 128'h6deacccd89a836ad6efda5d80f01ad41
key:       192'h513b05d05caef98420eb590b8a4a92bd0bf7355e43949f6b
ciphertext:128'hffdf61469d09d6880071e9a7c413c5a8

plaintext: 128'h86b191450e96b23e3c5fd1b7d5980dca
key:       192'h24f6836673ae4015e17ea6758a241245e211d6a440f1a788
ciphertext:128'h8a375e594d740b29e5f4fb5c67648f99

plaintext: 128'h437c5078c418145eade80e97c420974f
key:       192'h82a59f3d550dcab128381ea03d6829c5d780e479909c99f8
ciphertext:128'h8f02a891bfcea34e0f9238a03753b121

plaintext: 128'hf63d84a758bb5d1baedb60fcca03e82a
key:       192'hcbf33b06de085b6438b58940c9c85122f1c005d65f4a7b63
ciphertext:128'ha8088bfe162e6de065e169b349c06593

plaintext: 128'h060d25db13d0110db1dec34c5f8fe61f
key:       192'h9197446f6c5b6096c85d1b657128a796d97735cc93ec4846
ciphertext:128'h8f490db3b7aba600c1c6928e5c1a28a2

plaintext: 128'h2a44ca0b2089d3b1adb22117e6190d81
key:       192'hbeaf7728eb2fd71e53c4a70cfae6b1ef2c252a7b144daefd
ciphertext:128'h6b2d779687a71b31ad5ba5ce3948e2e0

plaintext: 128'h50c2ffcf3437db0c71f2e652c95c21bd
key:       192'hb71c20c84db202d12979d72c553ec685d1a500c52e05dcdb
ciphertext:128'h2fc921e360e87d5b55f1e720981c5197

plaintext: 128'h7f9ff7c2e149fb19ed99651b943a4b68
key:       192'ha7beb3223ffcfc7ad711a2fc4105167e27c0a40ebb08099f
ciphertext:128'hb1118bd4f79e6ce016fa208ef3146869

plaintext: 128'hd7a8a16f0e6be2ec0fb62995214fb225
key:       192'hd3f960548414fe7642abd4a34dfdb4de4224a5551d508f87
ciphertext:128'hab7a8cb8dc8c8f287c9df776d11a4dea

plaintext: 128'hde2c06b90d007bb952e0f9db9ad6f4f7
key:       192'ha7dd82c98bf4da3607cd188060241ea7dd3f5124a8eb3fcc
ciphertext:128'h9288f67bc76dc24d9c30611ac62ef016

plaintext: 128'h2ffacb3889cad0c08830a75201142481
key:       192'he309e13c24442dff4b01837efaf3ecc27829edb81001f3bd
ciphertext:128'hb6cda7324368ff245ae4def5e10cbcdf

plaintext: 128'h1c98319a911dac558d74268ed2b1b854
key:       192'hfd1db33b57f7109fbbcf21fdafcbd01456cb63019ee7e810
ciphertext:128'ha2509547f76decdf53da69dd1f84ba1a

plaintext: 128'h632b5c0f5035dd142f4d539061874563
key:       192'h7a1c56662829e7275a7ff44aecf866ddd74f24c291278401
ciphertext:128'h9149a4dc481d277b15100305426de181

plaintext: 128'h3bc074d71f9c47b9c59ab89ee9edc39f
key:       192'h95446cb895813cd3616cd0602cf29354c167b30898e103fa
ciphertext:128'h0ff3e24ca95fa7620258fee15fe563ae

plaintext: 128'h5a5d7bbbf6434b3e8a8b87b724200cc4
key:       192'h31868cdc285d782026e9c42b82becac784dc1c451e7a1f67
ciphertext:128'h3394be4e934a8e7a5533b80620283c33

plaintext: 128'h6ba906a7ef8fc91275201555b99d7d8e
key:       192'h08df8741978a9e51211b66ba2c3f9585ae97e89b079d27b1
ciphertext:128'h30b72c354296a308d7a2d0b43169a3d7

plaintext: 128'hca7cbd3c7b841a3af28363a1bb890d01
key:       192'hf8dca473d5251c3ab683bc0420bd20e317ea39ddf4926e53
ciphertext:128'h2efbb6e137fd252f3bef2f49a0722294

plaintext: 128'hd3e715d2958f70224f8e6b158c24b387
key:       192'h5342a86fa673ffc88cbd5d389e8050cc88716765ed1d00d8
ciphertext:128'hab1fcfa4bc7e0ad1683fa8a76e015588

plaintext: 128'hf33cab6cce7f605ed121c108f97794c0
key:       192'hbd8534f1ea5b05844572cd6d39328fcd992d6e3bd767acce
ciphertext:128'h60a4509965cd24a385968488acb56cf8

plaintext: 128'h2ea8886e0e271f1cd8cbac531fc227b2
key:       192'hc16434f4fefb96c3d298280442a9ffd4a4715188c4b29870
ciphertext:128'h69e725e7dd51aec9c25b6d3322019845

plaintext: 128'hf79c7e4599165ea5555a7a9214545510
key:       192'h52e6ec7d739490eb521805e1e316ca9eeddab248a286f010
ciphertext:128'h7588381d4e1ea91ad32cf16111d62cb0

plaintext: 128'h7af7e16ab48e4b3623067437e6969a04
key:       192'h3e38aea0c1214e7910affb0055b235eb4dcfa9162c015df5
ciphertext:128'h48f613efa9dfa493034567fcb183e9fa

plaintext: 128'hd64f07d141bce6a10d7ff49442cfa042
key:       192'h86527e9bcadb04b3a217aaadd9cf1807c0af1e1f99026b04
ciphertext:128'hd3907a5f68a955593281bec532a05611

plaintext: 128'ha1a6815fbde37522a74435f3e6711f39
key:       192'hd18988cabfaa58a07b7f5976231481c425c4ba0323e2a730
ciphertext:128'h47f2a78b6d1fb355694c1265da507271

plaintext: 128'h15ca26dc10fc3b4663e185c353228cdd
key:       192'haacea2e526cde223cd4b929d16f02e399a2bbb54baaa27f6
ciphertext:128'hbaed681bd99729b5a62dabbbd9723bc3

plaintext: 128'h891d8cacfddd401805a7abe22b2c758e
key:       192'h40f87707fa56e8a59a9482a356543fa9e3df71cb93e0bcb1
ciphertext:128'hb34fc5904011523f3a7e6985dbf5d03e

plaintext: 128'hf69988680421c5fde244193ca5dc9b01
key:       192'hc63f701d7a1c93afb65dfc0420493eb8c316e2c6e4c737a7
ciphertext:128'h64d2159aa25f94ff566f29feb14d80ce

plaintext: 128'h52c60b50c3f7a2a6c28a3612cd3ca6c9
key:       192'h5b839aa29e7bcdd8576192af1a3b28c9da6c0133b59d63a3
ciphertext:128'hf69e1edd493e8e48013c523fdd1cbe5e

plaintext: 128'h62772799702fb4ce26cbb34e2fc44780
key:       192'ha28625d980bcc14d655a28c2241bf88bed86921f945eb646
ciphertext:128'h9d1883721cca20297977729175c0f165

plaintext: 128'he9ba296949187e70f0ec9fa32371a860
key:       192'h5c88cbd1e381a3c37cd0073626112ebdc80fcb58ed12284a
ciphertext:128'h087b6aeac413abf9cca11fcef105823a

plaintext: 128'h27defec7774a4fa6ded4d31aacc15576
key:       192'h1a29915c18403ac04fe050053f3df27897661bf0840eb16a
ciphertext:128'hf9df38f84a3a54b2414fb3b8fc2ec556

plaintext: 128'hfa62e28494a7233775aed0b50f8dee0a
key:       192'hb65f6d3e50f59c6021e75cb791a5f60d108b08d8e0a4322b
ciphertext:128'h9d8dccb1f05eee9bb7e41140c6937a79

plaintext: 128'h0c5552027f1ce240b0357b50ce002b17
key:       192'h94efe887b62594dec8c6b09ce5a86ae3fdf2febc307c0ee0
ciphertext:128'h58ffc298cf936ca934276fa5dcc88a07

plaintext: 128'ha0e0b189636ee1dca7f75dc98e5d1cf1
key:       192'hb05624cd4b95fe8edd4887fc1e0dc49552beee7598b52ccf
ciphertext:128'h3a00b3c30d0c51300ddc31a8e74a60e5

plaintext: 128'h7b3fad8996099cc94f465fc05a9adc5d
key:       192'hf937e2631b1744a6016dd6328c9923029907d8d035301075
ciphertext:128'h3a099bec54a688d1ac7b3b72dbec1960

plaintext: 128'hcc84766fb6261e52a6af5d00d4c2c6a2
key:       192'h9fd62f9c222b6f52bdbc3248b1f2ec42b57d7762966ba495
ciphertext:128'h16c98e5cb46c0c53ac6ecb679fdd0cb0

plaintext: 128'ha33c1a017d78fee0801c4e2e05a347bd
key:       192'hbbc25f79ad6cb54bc162e92c8f57cd8dc83294e7c045aa92
ciphertext:128'h851020363a1d279c3a1e93fa2caafc66

plaintext: 128'hb64161f821bbe4a88edc7e435f3b4833
key:       192'hbf209e31534e786b9e1b800c235f602b69d9a0c1c78a9584
ciphertext:128'h75aa3854b97e459cefd115582b32a759

plaintext: 128'h46556613dfa590ae9a9ec52e49edec3d
key:       192'h98e8086d29bb47686b9295e73d321c2a30838782460f2817
ciphertext:128'hbc198e357c80f26b2f3880c6c2a0b942

plaintext: 128'h2be0aeed0774cd9a3d9f5cd58a665ba3
key:       192'h1af5f8f096572714c6c6daaeef0cd5021e1aec838e258fb9
ciphertext:128'h67cafab29c2a825882a44781d3a352d5

plaintext: 128'h8fcbc5eb101931203d2a0f29e5d38136
key:       192'h5dab995bf24cb76e5c1067a3e1ea35f61a70b5fa0f2a8ae6
ciphertext:128'hef23d146c6b34559e6f7962497bac3ae

plaintext: 128'hcf4c549930b41fd5268d5fb8b918da16
key:       192'h371528415818ff5e9a7389b4aca99d13c77bf5f2ccf83014
ciphertext:128'h56e2066ee46b4ae0d8a57e4ec16b08b8

plaintext: 128'ha6f3858fa05f0b5f92d7753429eaf074
key:       192'h8cc35d79ed386dfb77b4b3627343ace39119363276327842
ciphertext:128'hddb0ae687b2800d07240b2fddbc925ed

plaintext: 128'h620809ed728bf2f94bfe4e501e3836bb
key:       192'hcd95eceacb40d899515c590fbfc78ed29121cf981104acc1
ciphertext:128'h77c22f7d854643fb046bb95c3f28f7da

plaintext: 128'hb65c02fb23d494391af0698151e53142
key:       192'h5ca2418a681c69d0f9f93d38e50bfdea399b67007d5c70fc
ciphertext:128'hc8d17596df6ad6e6f345e2e228c35353

plaintext: 128'h1b974cd9086c7c7d8d640ebdaff58077
key:       192'ha8a9efbeec8db4ec1725281b729481984b8d2bce6553faa7
ciphertext:128'h30fb339f113a03bc9fc0797b92b713dc

plaintext: 128'h80f2b808f62fe838c39ed8d7a8b02b8c
key:       192'hecbfd554255e54572770ec7fee8cc4e6b46e7e7c3dab9e66
ciphertext:128'haf8018907b4a5e7907351f5e7ad39cfc

plaintext: 128'h03014976c9abb175ddb56a863e0214be
key:       192'he6657300b3d4f137d667436f571312e1d15a145c4c9a05c5
ciphertext:128'h0f7c2bb0b1703d92e8c76d745cd6af71

plaintext: 128'h2e294f70636c2c63d649d19f32891ec2
key:       192'h4208f0615f991b03f530f4306941caf97d986b1936e00497
ciphertext:128'hf0ab8137c21efce64f7f63925541ee8f

plaintext: 128'h980c2ad6a9ca954888ebd2851ee784ee
key:       192'h72131778fbdb55e1577873c04e8d5878cae69982b373b12e
ciphertext:128'hb0065d49a9f64f8acda0ac3a37301f27

plaintext: 128'h713c5e835b8f23e31ccda33bb817a9f8
key:       192'h940f8f1c6ae29ce86335c935fd16a87aea6f5207b145fe76
ciphertext:128'h1853b72eaae949ab15bbab865acd5c9e

plaintext: 128'h99cd13a1d851e5bc5c6d607431c74ffc
key:       192'h9294fc18ab90aba47395fffd9f24dbfdaa38f2ee4b828ad7
ciphertext:128'ha8d30af14cbee72ea88f6e6ed049edeb

plaintext: 128'he7a8efea57186f3f0feaad6b55bb7a58
key:       192'h76c950791915ed2bb6c34edfc20246d874a9aa3584ccc219
ciphertext:128'h1e50a5de0d9e094e595561772e60e949

plaintext: 128'hc793b66fa91c4e30ca1fe59fb2e435d3
key:       192'h5b69a783231d6bed2e97c715f8b2638949bf451933f2db94
ciphertext:128'h511d46f233269f72df82a9c37564bf52

plaintext: 128'h94fd12c1ca46e1477625af892f99421a
key:       192'h925d3109ae8a0f94e9f74955e61cea25437a19fc840dc0fb
ciphertext:128'h93d26281361f5554a9e40b6190b5657b

plaintext: 128'h8afa32707eba9474591017c57c079b27
key:       192'h0965ffe4e5ef81e99528699a9a19352adb2414676d59dea8
ciphertext:128'hf8cfb7d958a575d4570b07c800d94de5

plaintext: 128'h1dc66af6e999ce05b6f3fecd199be27f
key:       192'h76afc34c5f10c8f8843a34dc09f194130326b8fe53ecbf86
ciphertext:128'h04b16b5e6ea5666221ef965f4337fdfd

plaintext: 128'h3c09dfbd0e55a4c25f840467a9be94cd
key:       192'hdb2ef8c88ae41f8c5d8d0ad786b07ac91bc2b959c429185d
ciphertext:128'h5d7a860a64751955d1b9dcf28de1a531

plaintext: 128'he923ad1c0a93e14166e5c1dab8f1cae0
key:       192'h9e157ed45224c6f8dd6de77f1ba197ff8605c544809098a6
ciphertext:128'h7df69953c75721f29bb9099c8e9e2585

plaintext: 128'h39e7755914f1d83f4fb207564ca1d6cd
key:       192'hbc290ebdead8cba53670dd90ceb70075b5079e75ccc9f976
ciphertext:128'heaa5c08a113a0f458533346fa3d0ed56

plaintext: 128'hcd1b7b000f19bc5170cb43cb9e5aa30e
key:       192'hf5d4ca8040c38bca9ff5cb29c46cbec48a9187390f99aa44
ciphertext:128'hc571eb6b1fe60f557cc0ee22c6aa0c00

plaintext: 128'hfb7f65ed8999da086f7e6ea423af42f9
key:       192'hd1c2a40d9b952e62fa2526b6be09bfd02cb9882407b55362
ciphertext:128'h399c73297a5e2ff53aededc9973cb241

plaintext: 128'hba7634c183dd25762b54a0c984c6e9ce
key:       192'hdf7eeb0fce9d87aa72fb57106b79b0aa5a25efe4dddd0314
ciphertext:128'hf3a2285513679a8c1338ffa446594921

plaintext: 128'h710831a329f6ce1a640974ba0c33a6fc
key:       192'ha77e2efdc312f8defc1d38e7ded9fb3b474fe22c6a7045b0
ciphertext:128'h0de4fa470d6b5c2beaec6932b4793955

plaintext: 128'hb6cf79ba1dc202200ec5403020d1d738
key:       192'h4a1cef0f1628f5ea885d78d777f2cebd672dc147f385efc3
ciphertext:128'h6016d5f26150ff317c4819f5740ecdf6

plaintext: 128'h68024a303188d321ac7ba4c271c3a49a
key:       192'hd9f9201c3651ecee719d7ead9e64226e8e06666cfcbf8f3a
ciphertext:128'h4e712e1233190badea95dc71482a2df7

plaintext: 128'hcda93a33fa3f6cde7bd4388cd2b12524
key:       192'h11434ea3ddafa771486bb60e78442a454346ed65e63e8559
ciphertext:128'hb6587c6539ef29612492e92332f15a7f

plaintext: 128'he26112bddab41237d1ecf760acaf9b9e
key:       192'h96f41a51aa0f394580ed552697662bda7479c73d394f2dd9
ciphertext:128'hed2acbd0779a73c40ea8c77b7408195a

plaintext: 128'hc30b3b24286fbad619be64d4c3c3cd9d
key:       192'hfc43b1221a94a9dc498e0d705f83dd3bef228e181c179248
ciphertext:128'hfa25f3b6262a9da40e77a268a94454d2

plaintext: 128'h9336d5f6c556f9a387c29aaab4a15643
key:       192'h9efd2f6325fe800d5614200ea8732bb2a43ba9014d6992a2
ciphertext:128'hde29f57a14eecb4f914907e8a9e46f4d

plaintext: 128'h6fd42b2ce5237581b18321a4b0d781a1
key:       192'h5406eba218fd7917c5bc3822f61225cad266e651ffb7895b
ciphertext:128'h356f31fcc3d22520670245c2c1c43c69

plaintext: 128'h4cb13baa5efc88bc8ab302739ea2b07c
key:       192'hb3635ee8d5a97584b6a70f5b43b65f99568f679a62b58bef
ciphertext:128'ha7701931072815f2ccf982aa2e290dcd

plaintext: 128'h0aed688e00a88f1872b30ceedd475d81
key:       192'h0593ee6ce749494d9f3ed8b0f202f36473fcef5b6c73a47e
ciphertext:128'hb36108ef0b3ba0f9a4d9d101ba218adc

plaintext: 128'h32de27b0f00f258461f6a2149c493fec
key:       192'h7b3c8717d56d3e7aab48692dbe18bb0e66f0f6e23057ff1c
ciphertext:128'h993c58f58ec8a3edd7f17fabb6f9bbe9

plaintext: 128'h8e914da2a32ada8cdb1f6661d1b08ca4
key:       192'h047df8f696c295b4a7fdb38b54d754b22de269a1a5d00d43
ciphertext:128'h769d41e6167b56c60f86928c7f0bd7a8

plaintext: 128'h1880ef7372e9317cdd766629877438fb
key:       192'h9e2e71eb66f206c5b293d56f555763e2cf6dd85332415709
ciphertext:128'h4b6106d410fde4d9df10f8e3ff504633

plaintext: 128'hb910b7bddb4084efba796ef5e3206b74
key:       192'h2296b3406978ed16ce38e5c5fa01793c20b311308afbf395
ciphertext:128'h54ff51bd4f103866dc371d7835e9a2e7

plaintext: 128'hd644746120b964df2d424f170297ba3d
key:       192'hdcd1cfa079d6d249789989e3de02947ce8b44608c1086daa
ciphertext:128'heded9662b0f687beeb602df4eec5b66e

plaintext: 128'hfaee4abda5fc85059e81cd558217589f
key:       192'h5efab1e14e3cfc45ec36f0421aad3e5d8d149c8876321121
ciphertext:128'hd826f530efca9ab2b51cff65569663a4

plaintext: 128'h7e14b4deed002c0c224bfbdd3a7087f7
key:       192'hd526a6776defd4e491fa0470f3082d15ed711ce125da7248
ciphertext:128'h758ae6218308f612c1d263795dbfa1d6

plaintext: 128'h6448266d259eb8ad43fac55f09b0e999
key:       192'h029aabedb9f6a2d807a667bf462d80d954ab75a68c79492d
ciphertext:128'h42e5a98c7bd6d80501271757fa9ac553

plaintext: 128'ha7d0730e4ab0805c034c4b2bacbc42ed
key:       192'h83b462aa89cae1e383dd7556cd1056be2674e0c98c702560
ciphertext:128'h86777e2f3ae3450f48abfd02a741ec5e

plaintext: 128'h5d8fbc70a90a4cff912cbeaef51bf69f
key:       192'h2a78f86b18f7884fc93e6b680055ae906a5ee46bdf136830
ciphertext:128'h9e4b6b16bf03a6184e099376c0b5b307

plaintext: 128'hc5703f26a1ba8b36d3cb328423ebc2bb
key:       192'hbeec2a2e43bf41d856ad1d26ab35c0853670a600b5d72a31
ciphertext:128'ha338d2d35a8a6fa3baa9d6aa13e4a5cb

plaintext: 128'h1788a35c933b74657652279e8fba1169
key:       192'hb3e5672e285e1b28f25ecec154a835f83e6c30d842d1a7a4
ciphertext:128'hed4ce7aba90b5eaee46bd36084a0e4d3

plaintext: 128'h37b923ce62c673340215acda882a73c7
key:       192'h397a8841968e22bef7d4fa536f3aa6a1fea7f3c940606d66
ciphertext:128'hf8ad690f90423a372a514383f4b7547b

plaintext: 128'he04376192b686de9b464e3f6584af205
key:       192'h8d501fec8efd8ac5e38ca47d2b23ed114c0b6663ca7774d4
ciphertext:128'hed492b64e87285653a3856b671d59dba

plaintext: 128'h5c7edc57bbb5c8ceac4805e70c3b458f
key:       192'hfbefc7e9172612b44d643179fc17dba5865995b745410e5d
ciphertext:128'h52c0e817c60e9616b75ab0bd1a920b1a

plaintext: 128'ha2f18913b8ae2ccfa8b39df428c0d9af
key:       192'hb075240bb7ad8cff7f3d062127c47e14d6c9b507d68f77e2
ciphertext:128'ha798949ee1ec7f8cdb429a5784c3055b

plaintext: 128'hc37e421427ec3e1c62d761620f1984ee
key:       192'h9e8e568adbc552d4eab28e0819c041059fdd3e83dfc6c97d
ciphertext:128'h3c807bb294783cb665a2bc106c9f2cb2

plaintext: 128'h18419e2aad285a22844bb6b011601109
key:       192'ha5fb129fd6bebb5376769bf98f563c64fda797daa2aacff2
ciphertext:128'hbfa794419124d3d4b8302bb4f17759e3

plaintext: 128'h8f27f586a6a08706ec4b9b994fc20956
key:       192'h09c638a54f981c75a54c40b39548f60ff2246fec8f98c4f6
ciphertext:128'ha78cf8f8c866cbdbd91d5e7c3d81d12a

plaintext: 128'hb57be35f92053dedeb9bcb769a3a34e7
key:       192'h834087746919887ded5c3df7617cf402c517f7d8aa571c34
ciphertext:128'h8a5d264927e48157a9ab473cef71a92d

plaintext: 128'hce95f2e79a68d026d41ea857273e3730
key:       192'h76149a7466d8908ebc2bef87f266820b9bc0fc75233628cc
